time	area_ratio
0.0991	0.0000
0.2651	0.0000
0.4303	0.0000
0.5979	0.0000
0.7651	0.0000
0.9305	0.0016
1.0984	0.0030
1.2636	0.0026
1.4305	0.0015
1.5966	0.0027
1.7630	0.0000
1.9297	0.0000
2.0954	0.0000
2.2623	0.0000
2.4298	0.0000
2.5953	0.0000
2.7624	0.0000
2.9297	0.0000
3.0951	0.0000
3.2636	0.0000
3.4319	0.0000
3.5958	0.0000
3.7627	0.0000
3.9295	0.0000
4.0968	0.0000
4.2621	0.0000
4.4316	0.0000
4.5952	0.0000
4.7617	0.0000
4.9279	0.0000
5.0959	0.0000
5.2625	0.0000
5.4287	0.0000
5.5951	0.0000
5.7620	0.0000
5.9294	0.0000
6.0958	0.0000
6.2618	0.0000
6.4291	0.0000
6.5944	0.0000
6.7621	0.0000
6.9281	0.0000
7.0955	0.0033
7.2626	0.0000
7.4290	0.0024
7.5960	0.0033
7.7622	0.0024
7.9276	0.0000
8.0945	0.0000
8.2627	0.0000
8.4294	0.0000
8.5961	0.0000
8.7619	0.0000
8.9287	0.0000
9.0958	0.0000
9.2624	0.0000
9.4290	0.0000
9.5965	0.0000
9.7619	0.0000
9.9281	0.0000
10.0963	0.0000
10.2626	0.0000
10.4288	0.0000
10.5948	0.0000
10.7633	0.0000
10.9292	0.0000
11.0949	0.0000
11.2611	0.0000
11.4289	0.0000
11.5951	0.0000
11.7627	0.0014
11.9287	0.0016
12.0960	0.0017
12.2624	0.0019
12.4291	0.0021
12.5956	0.0024
12.7610	0.0025
12.9292	0.0028
13.0965	0.0032
13.2624	0.0034
13.4273	0.0040
13.5959	0.0043
13.7611	0.0048
13.9284	0.0052
14.0959	0.0057
14.2624	0.0062
14.4291	0.0068
14.5953	0.0074
14.7616	0.0079
14.9282	0.0084
15.0948	0.0090
15.2618	0.0096
15.4280	0.0106
15.5945	0.0106
15.7617	0.0115
15.9281	0.0136
16.0949	0.0147
16.2631	0.0159
16.4284	0.0171
16.5946	0.0183
16.7613	0.0193
16.9290	0.0207
17.0951	0.0219
17.2614	0.0230
17.4281	0.0249
17.5952	0.0265
17.7631	0.0285
17.9288	0.0281
18.0944	0.0297
18.2616	0.0335
18.4278	0.0358
18.5955	0.0379
18.7623	0.0398
18.9290	0.0428
19.0948	0.0464
19.2620	0.0501
19.4280	0.0541
19.5946	0.0586
19.7616	0.0651
19.9302	0.0714
20.0951	0.0796
20.2617	0.0863
20.4287	0.0834
20.5945	0.0995
20.7610	0.1055
20.9284	0.1111
21.0945	0.1137
21.2613	0.1155
21.4287	0.1229
21.5942	0.1255
21.7606	0.1346
21.9287	0.1410
22.0947	0.1411
22.2613	0.1384
22.4283	0.1401
22.5945	0.1535
