time	node_count
0.0991	0
0.2651	0
0.4303	0
0.5979	0
0.7651	0
0.9305	5
1.0984	12
1.2636	9
1.4305	7
1.5966	15
1.7630	0
1.9297	0
2.0954	0
2.2623	0
2.4298	0
2.5953	0
2.7624	0
2.9297	0
3.0951	0
3.2636	0
3.4319	0
3.5958	0
3.7627	0
3.9295	0
4.0968	0
4.2621	0
4.4316	0
4.5952	0
4.7617	0
4.9279	0
5.0959	0
5.2625	0
5.4287	0
5.5951	0
5.7620	0
5.9294	0
6.0958	0
6.2618	0
6.4291	0
6.5944	0
6.7621	0
6.9281	0
7.0955	19
7.2626	0
7.4290	5
7.5960	16
7.7622	6
7.9276	0
8.0945	0
8.2627	0
8.4294	0
8.5961	0
8.7619	0
8.9287	0
9.0958	0
9.2624	0
9.4290	0
9.5965	0
9.7619	0
9.9281	0
10.0963	0
10.2626	0
10.4288	0
10.5948	0
10.7633	0
10.9292	0
11.0949	0
11.2611	0
11.4289	0
11.5951	0
11.7627	2
11.9287	2
12.0960	3
12.2624	2
12.4291	2
12.5956	2
12.7610	2
12.9292	2
13.0965	2
13.2624	2
13.4273	2
13.5959	2
13.7611	2
13.9284	2
14.0959	2
14.2624	2
14.4291	2
14.5953	2
14.7616	2
14.9282	2
15.0948	2
15.2618	2
15.4280	3
15.5945	2
15.7617	2
15.9281	2
16.0949	3
16.2631	6
16.4284	7
16.5946	8
16.7613	10
16.9290	11
17.0951	12
17.2614	14
17.4281	14
17.5952	16
17.7631	17
17.9288	17
18.0944	18
18.2616	22
18.4278	23
18.5955	33
18.7623	30
18.9290	31
19.0948	34
19.2620	34
19.4280	39
19.5946	38
19.7616	38
19.9302	40
20.0951	43
20.2617	47
20.4287	48
20.5945	60
20.7610	63
20.9284	71
21.0945	74
21.2613	84
21.4287	93
21.5942	107
21.7606	124
21.9287	133
22.0947	136
22.2613	146
22.4283	165
22.5945	209
