track_number	time	length
1	11.7627	0.0000
1	11.9287	1.1858
1	12.0960	1.3538
1	12.2624	3.0215
1	12.4291	3.7904
1	12.5956	5.4135
1	12.7610	6.6419
1	12.9292	8.5585
1	13.0965	10.2485
1	13.2624	12.2031
1	13.4273	14.2450
1	13.5959	16.4577
1	13.7611	19.1793
1	13.9284	21.6408
1	14.0959	25.1266
1	14.2624	27.8370
1	14.4291	31.3136
1	14.5953	34.9209
1	14.7616	39.3213
1	14.9282	43.1340
1	15.0948	47.2132
1	15.2618	52.0083
2	16.2631	0.0000
2	16.4284	2.6900
2	16.5946	5.4135
2	16.7613	8.7646
2	16.9290	11.8670
2	17.0951	14.7493
2	17.2614	18.0735
2	17.4281	20.9539
2	17.5952	24.2158
2	17.7631	27.1259
2	17.9288	29.7220
2	18.0944	33.0109
2	18.2616	36.6044
2	18.4278	39.9509
2	18.5955	43.4590
2	18.7623	46.6644
2	18.9290	50.3609
2	19.0948	54.2117
2	19.2620	58.2156
2	19.4280	61.7979
2	19.5946	65.6968
2	19.7616	70.2903
2	19.9302	74.4492
2	20.0951	79.7984
2	20.2617	83.9211
2	20.4287	89.0996
2	20.5945	94.4508
2	20.7610	99.9589
2	20.9284	105.6909
3	16.9290	0.0000
3	17.0951	0.6769
3	17.2614	1.4838
3	17.4281	2.2796
3	17.5952	2.9992
3	17.7631	4.4766
3	17.9288	5.3800
3	18.0944	6.0616
3	18.2616	7.1062
3	18.4278	8.1508
3	18.5955	8.7897
4	16.9290	0.0000
4	17.0951	2.4123
4	17.2614	5.1877
4	17.4281	8.0504
4	17.5952	10.5835
4	17.7631	12.9374
4	17.9288	15.6859
4	18.0944	18.5709
4	18.2616	21.5274
4	18.4278	25.4524
4	18.5955	27.5947
4	18.7623	30.8001
4	18.9290	33.7363
4	19.0948	37.1163
4	19.2620	40.1201
4	19.4280	44.2178
4	19.5946	47.9767
4	19.7616	52.1932
4	19.9302	57.1729
4	20.0951	61.3987
4	20.2617	66.2160
4	20.4287	70.7983
4	20.5945	75.9972
5	17.5952	0.0000
5	17.7631	1.0288
5	17.9288	2.7931
5	18.0944	4.5239
5	18.2616	6.5704
5	18.4278	8.6150
5	18.5955	11.0766
5	18.7623	13.4435
5	18.9290	16.7362
5	19.0948	19.9258
5	19.2620	23.6066
5	19.4280	26.7478
5	19.5946	30.7386
5	19.7616	34.6813
5	19.9302	38.8413
5	20.0951	43.2975
6	18.2616	0.0000
6	18.4278	1.0335
6	18.5955	2.3650
6	18.7623	4.0642
6	18.9290	5.7366
6	19.0948	7.1647
6	19.2620	9.1731
6	19.4280	11.1231
6	19.5946	13.6070
6	19.7616	16.3331
6	19.9302	19.0659
6	20.0951	21.7578
6	20.2617	25.0597
6	20.4287	40.4571
7	18.2616	0.0000
7	18.4278	0.6500
7	18.5955	1.4031
7	18.7623	2.9677
7	18.9290	4.6512
7	19.0948	6.6150
7	19.2620	8.9243
7	19.4280	11.5047
7	19.5946	14.0516
7	19.7616	17.1293
7	19.9302	20.1809
7	20.0951	23.3825
8	18.4278	0.0000
8	18.5955	0.9527
8	18.7623	1.7531
8	18.9290	2.8135
8	19.0948	3.9008
8	19.2620	4.3066
8	19.4280	4.3985
8	19.5946	8.3723
